User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIATEQ53RRWSO2DCWL6,2020-10-20T20:10:33Z,cloudtrail.amazonaws.com,PutInsightSelectors,eu-west-2,82.30.224.220,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-west-2:215884729453:trail/Udacity_Trail""}]",1a3ab805-165a-4d63-9539-8f64fd1bf082,7066294a-97b2-48b7-b148-4cf8e69ed2a4,FALSE,AwsApiCall,2.15885E+11,
CloudTrail,ASIATEQ53RRWSO2DCWL6,2020-10-20T20:10:33Z,cloudtrail.amazonaws.com,UpdateTrail,eu-west-2,82.30.224.220,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-west-2:215884729453:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-215884729453-1d610506""}]",93b0273d-dc59-40ec-aab4-c94f7329980b,9e42efd1-8f04-4b5a-9f10-68691dc7091a,FALSE,AwsApiCall,2.15885E+11,
CloudTrail,ASIATEQ53RRWSO2DCWL6,2020-10-20T20:10:33Z,cloudtrail.amazonaws.com,PutEventSelectors,eu-west-2,82.30.224.220,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-west-2:215884729453:trail/Udacity_Trail""}]",4a87197b-32b2-42d1-b093-0560209946eb,e294a9cd-cc28-415e-a05e-095244071fff,FALSE,AwsApiCall,2.15885E+11,
CloudTrail,ASIATEQ53RRWSO2DCWL6,2020-10-20T20:10:07Z,cloudtrail.amazonaws.com,CreateTrail,eu-west-2,82.30.224.220,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-west-2:215884729453:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-215884729453-1d610506""}]",e068c308-76e3-4fed-91d4-46ec0543609b,268c13fe-420b-4bfa-b20d-2902b61e68f5,FALSE,AwsApiCall,2.15885E+11,
CloudTrail,ASIATEQ53RRWSO2DCWL6,2020-10-20T20:10:07Z,cloudtrail.amazonaws.com,StartLogging,eu-west-2,82.30.224.220,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",c14dfe6f-af88-46e6-acbd-b73a8f1da5ea,26faf6ad-6f7b-4378-91c5-a47e4923de75,FALSE,AwsApiCall,2.15885E+11,
CloudTrail,ASIATEQ53RRWSO2DCWL6,2020-10-20T20:10:06Z,s3.amazonaws.com,PutBucketPolicy,eu-west-2,82.30.224.220,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.864 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.262-b10 java/1.8.0_262 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-215884729453-1d610506""}]",894EF45697ED567E,2b880b9b-4d91-49a1-94c6-37da50796a5b,FALSE,AwsApiCall,2.15885E+11,
CloudTrail,ASIATEQ53RRWSO2DCWL6,2020-10-20T20:10:06Z,s3.amazonaws.com,CreateBucket,eu-west-2,82.30.224.220,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.864 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.262-b10 java/1.8.0_262 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-215884729453-1d610506""}]",DT6X4G2K6Y0T4J5M,57e4b4f5-58a1-45b6-a81a-6557b5685dc6,FALSE,AwsApiCall,2.15885E+11,
CloudTrail,ASIATEQ53RRWVXH4QTDX,2020-10-20T20:09:43Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],ccf3900b-ba46-43aa-bd86-5ccdb4c74049,f2e78bcf-8fc0-483e-b34f-fa2d7cef027c,FALSE,AwsApiCall,2.15885E+11,
Accountant,ASIATEQ53RRW667MDOYP,2020-10-20T20:09:10Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],a192403f-fd40-4448-b189-c7a0818450f5,cacbc332-3bc7-453b-87e8-ad6e0de14c58,FALSE,AwsApiCall,2.15885E+11,
ebaranauskas,ASIATEQ53RRWSAE67PYH,2020-10-20T20:08:26Z,iam.amazonaws.com,AddUserToGroup,us-east-1,82.30.224.220,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",63f874ae-ba31-49bb-9c57-9772d0d8b5ec,efb9d637-2ccc-44ca-9a57-813bf2623069,,AwsApiCall,2.15885E+11,
